type	case.case_record_id	enrollment_record_id
enrollment	TCL01-Angus	TCL01-Angus
enrollment	TCL01-Bliley	TCL01-Bliley
enrollment	TCL01-Kinsey	TCL01-Kinsey
enrollment	TCL01-Tyler	TCL01-Tyler
enrollment	TCL01-Cindy	TCL01-Cindy
enrollment	TCL01-DEN-HSA	TCL01-DEN-HSA
enrollment	TCL01-SB	TCL01-SB
enrollment	TCL01-DH82	TCL01-DH82
enrollment	TCL01-Nike 	TCL01-Nike 
enrollment	TCL01-CLL-1390	TCL01-CLL-1390
enrollment	TCL01-17-71	TCL01-17-71
enrollment	TCL01-CLBL1	TCL01-CLBL1
enrollment	TCL01-OSW	TCL01-OSW
enrollment	TCL01-CMT12	TCL01-CMT12
enrollment	TCL01-BRMCT	TCL01-BRMCT
enrollment	TCL01-C2	TCL01-C2
enrollment	TCL01-17CM98	TCL01-17CM98
enrollment	TCL01-CML-10C2	TCL01-CML-10C2
enrollment	TCL01-CML-6M	TCL01-CML-6M
enrollment	TCL01-Jones	TCL01-Jones
enrollment	TCL01-Parks	TCL01-Parks
enrollment	TCL01-Abrams	TCL01-Abrams
enrollment	TCL01-D-17	TCL01-D-17
enrollment	TCL01-Gracie	TCL01-Gracie
enrollment	TCL01-HMPOS	TCL01-HMPOS
enrollment	TCL01-McKinley	TCL01-McKinley
enrollment	TCL01-Moresco	TCL01-Moresco
enrollment	TCL01-OS2.4	TCL01-OS2.4
enrollment	TCL01-OSA8	TCL01-OSA8
enrollment	TCL01-Vogel	TCL01-Vogel
enrollment	TCL01-STSA-1	TCL01-STSA-1
enrollment	TCL01-CTAC	TCL01-CTAC
enrollment	TCL01-N-1344	TCL01-N-1344
enrollment	TCL01-N-1866	TCL01-N-1866
enrollment	TCL01-N-1146	TCL01-N-1146
enrollment	TCL01-N-1776	TCL01-N-1776
enrollment	TCL01-N-353	TCL01-N-353
enrollment	TCL01-N-166408	TCL01-N-166408
enrollment	TCL01-N-172160	TCL01-N-172160
enrollment	TCL01-N-Bella	TCL01-N-Bella
enrollment	TCL01-N-Zada	TCL01-N-Zada
enrollment	TCL01-N-CSU7	TCL01-N-CSU7
enrollment	TCL01-N-CSU9	TCL01-N-CSU9
enrollment	TCL01-N-VRCC3	TCL01-N-VRCC3
enrollment	TCL01-N-VRCC7	TCL01-N-VRCC7
