type	synonym_id	repository_of_synonym_id	associated_id	domain_description	domain_category	data_location	id	study.id	participant.id	sample.id
synonym	3854893_dbGaP	dbGaP	3854893				599bd82e-927a-5b5e-bbb6-8c2c8da7bdc3		f7a702a1-47e8-5b38-9f4d-67bcfaf3181e	
synonym	SAMN25345914_BioSample	BioSample	SAMN25345914				749c510b-2ae7-55e1-a5bb-0750628c55ef			1dd381a9-c9c7-5547-84d6-9496784de594
synonym	SAMN25345995_BioSample	BioSample	SAMN25345995				73c3e6ee-0528-5f7e-b469-0f9193682ab0			76ed8559-df98-5329-ae3a-3610e68f9d82
synonym	SAMN25345843_BioSample	BioSample	SAMN25345843				317c4e66-89e3-5653-9e62-16539ebe6dfb			31b4c6c9-0ad3-57e3-adfc-49a143305610
synonym	SAMN25345919_BioSample	BioSample	SAMN25345919				75bc0dba-6421-54c5-937b-63835b4c86e1			617e15dd-b76e-5a81-856d-cdc24edfdd33
synonym	SAMN25345798_BioSample	BioSample	SAMN25345798				492e1d1e-cfc7-540c-8e5f-8be8b514354d			18f438d0-1755-5eac-b7a6-802ee63e52f2
synonym	SAMN25345997_BioSample	BioSample	SAMN25345997				06ddb869-b847-5b8e-acfb-62bb1a2762ad			c7c79a9e-a270-5c0a-b286-d5692a5b8572
synonym	3854813_dbGaP	dbGaP	3854813				9873e2ed-b3de-5bc7-95ba-9c2106f340bf		280a8929-70fa-595f-a536-bd4d64b7e745	
synonym	3854917_dbGaP	dbGaP	3854917				2df9a1f1-abaa-51f6-8af4-ae221007cdf5		01607aea-27fc-54ae-abf4-8ed9674b43e2	
synonym	SAMN25345910_BioSample	BioSample	SAMN25345910				33aa3531-5b50-5c09-8be6-16618efdfea5			3293ba51-76e9-58e5-899c-a1298b4de9a6
synonym	3854913_dbGaP	dbGaP	3854913				d97c100a-1416-598f-a67c-2f9c7f919679		2d99c4db-eac8-5d92-8c08-6cafb24ac617	
synonym	SAMN25345845_BioSample	BioSample	SAMN25345845				d4c7e2bf-a781-597b-900e-f13758628950			45b90a30-5560-5c47-8fca-3503aa274cf8
synonym	3854793_dbGaP	dbGaP	3854793				3813a442-d949-5e5d-8d71-6c1f14c35f79		98450489-c570-56dd-a782-de9b22348a03	
synonym	3854907_dbGaP	dbGaP	3854907				e10e8d71-f7b2-5f95-b169-fa9285f31bc7		3b115fc6-f315-5a50-98e1-d0ceca45ae79	
synonym	SAMN25345990_BioSample	BioSample	SAMN25345990				0b272271-7132-5c8b-b18b-4ecb98980b7d			2e4f72ec-8192-5ed3-bf79-19d331148afe
synonym	SAMN25346065_BioSample	BioSample	SAMN25346065				41d67e8e-37a7-5ec7-8741-3c5994d5f726			5288b296-d770-512e-bf59-9c12d43da8ac
synonym	SAMN25345867_BioSample	BioSample	SAMN25345867				ab080bb1-6fd1-53ac-8d37-467dabff10a0			e9fef096-2d9a-5ca1-a655-efa3d863db18
synonym	SAMN25345908_BioSample	BioSample	SAMN25345908				9e00ffa0-51db-5cc0-b730-a85a44ae24bb			4f0e2753-5a60-590b-bc66-c4b48bc4d2c9
synonym	3854855_dbGaP	dbGaP	3854855				4869cbe2-46cc-5f29-838c-bbfccfb8a304		6cc0d6cf-b446-5451-881d-d8919f5a46ac	
synonym	SAMN25345943_BioSample	BioSample	SAMN25345943				f63bed31-26f0-5539-8484-85c5453fff4b			f71613b1-8a24-5adf-9050-3bb85fa41384
synonym	SAMN25346071_BioSample	BioSample	SAMN25346071				d6fcfc7e-af45-57f9-8b49-0ad0edcb51e4			8937d51d-14ea-5d1d-8bd6-770fae383d96
synonym	SAMN25345859_BioSample	BioSample	SAMN25345859				00507265-bd0d-5417-8ee9-3edf6123fd81			ee0f8829-917c-553f-a20f-0e07cc6a9054
synonym	SAMN25346040_BioSample	BioSample	SAMN25346040				1cb88c64-957e-5b92-bafe-8721ed991af6			acc26b9c-dfee-5094-8bcf-224b179a5acb
synonym	SAMN25345788_BioSample	BioSample	SAMN25345788				e8ff054c-f663-5845-964c-0af0389d2bd6			5b61f188-b412-5f57-893f-aed5556daa95
synonym	SAMN25345964_BioSample	BioSample	SAMN25345964				47b9cacf-0b1d-5cbb-8e7a-6479f4b51db6			b1af5abd-4dbd-5e05-8587-ec56d81e665e
synonym	SAMN25345865_BioSample	BioSample	SAMN25345865				5b6abdd4-7946-5087-bf9a-e4bab9944457			8f1c5943-4c3c-5fe4-b5cd-c3f76106471c
synonym	SAMN25345949_BioSample	BioSample	SAMN25345949				426cd928-0523-51ce-b32a-2f9a9bb35603			ea15046a-287b-50cf-83ba-522d7cf86e25
