type	sequencing_file_id	file_name	data_category	file_type	file_description	file_size	md5sum	file_mapping_level	file_access	acl	authz	file_url	dcf_indexd_guid	checksum_algorithm	checksum_value	library_id	library_selection	library_strategy	library_layout	library_source_material	library_source_molecule	number_of_bp	number_of_reads	design_description	platform	instrument_model	avg_read_length	coverage	reference_genome_assembly	custom_assembly_fasta_file_for_alignment	sequence_alignment_software	cDNA_read	cDNA_read_size	cDNA_read_offset	cell_barcode_offset	cell_barcode_read	cell_barcode_size	single_cell_entity	dissociation_method	end_bias	total_number_of_input_cells	library_construction_method	library_strand	protocols_link	reverse_transcription_primer	spike_in	UMI_barcode_offset	UMI_barcode_read	UMI_barcode_size	crdc_id	id	sample.id
sequencing_file	J221_J221_na_na_PG_R1_001.fastq.gz	J221_J221_na_na_PG_R1_001.fastq.gz	Sequencing	fastq	PCR AMPLICON	10901280	cf6fe50bef43b5941d45217e699197d2	Sample	Controlled	['phs002504']	['/programs/phs002504']	s3://cds-256-phs002504-sequencefiles-p30-fy20/J221_J221_na_na_PG_R1_001.fastq.gz	dg.4DFC/35a5ee1d-9996-427e-973d-6525d46d1481			J221.Amplicon	PCR	AMPLICON	Paired end	Not Reported	Genomic	150	10	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.	Illumina	Illumina MiSeq																									eb79167a-8056-5f65-9063-0c8e38044c4e	bd25006e-a446-5103-91d1-9b4e62d12f6d
sequencing_file	J221_J221_na_na_PG_R2_001.fastq.gz	J221_J221_na_na_PG_R2_001.fastq.gz	Sequencing	fastq	PCR AMPLICON	11001491	89e6567c9f4228cfcd3b19d66b3b2c1b	Sample	Controlled	['phs002504']	['/programs/phs002504']	s3://cds-256-phs002504-sequencefiles-p30-fy20/J221_J221_na_na_PG_R2_001.fastq.gz	dg.4DFC/b8143cc2-3bc9-4f4d-8b89-808065a27d00			J221.Amplicon	PCR	AMPLICON	Paired end	Not Reported	Genomic	150	10	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.	Illumina	Illumina MiSeq																									9d1eb556-fb75-5b69-972b-2fd65a6388ec	bd25006e-a446-5103-91d1-9b4e62d12f6d
sequencing_file	J277_J277_na_na_PG_R1_001.fastq.gz	J277_J277_na_na_PG_R1_001.fastq.gz	Sequencing	fastq	PCR AMPLICON	7693803	8af45a12bb0a8b587ae8d518df39015c	Sample	Controlled	['phs002504']	['/programs/phs002504']	s3://cds-256-phs002504-sequencefiles-p30-fy20/J277_J277_na_na_PG_R1_001.fastq.gz	dg.4DFC/3dd0cd9b-7085-4a48-996b-e2edffa7fd61			J277.Amplicon	PCR	AMPLICON	Paired end	Not Reported	Genomic	150	10	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.	Illumina	Illumina MiSeq																									4b488915-49d6-532d-813b-fd3663470a7e	a1c3b1a3-e62f-5552-b6b1-c69b070c5267
sequencing_file	J277_J277_na_na_PG_R2_001.fastq.gz	J277_J277_na_na_PG_R2_001.fastq.gz	Sequencing	fastq	PCR AMPLICON	7802293	2f6c289e078cef66909ce563fd28087a	Sample	Controlled	['phs002504']	['/programs/phs002504']	s3://cds-256-phs002504-sequencefiles-p30-fy20/J277_J277_na_na_PG_R2_001.fastq.gz	dg.4DFC/31530007-9d37-49ff-84ee-85380355037b			J277.Amplicon	PCR	AMPLICON	Paired end	Not Reported	Genomic	150	10	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.	Illumina	Illumina MiSeq																									da2ad5d9-ef97-5d17-87aa-cb7d0897afc6	a1c3b1a3-e62f-5552-b6b1-c69b070c5267
sequencing_file	J300_J300_SR_na_na_PG_R1_001.fastq.gz	J300_J300_SR_na_na_PG_R1_001.fastq.gz	Sequencing	fastq	PCR AMPLICON	10544707	2f92f144156e8ce10e0ca446322aa54b	Sample	Controlled	['phs002504']	['/programs/phs002504']	s3://cds-256-phs002504-sequencefiles-p30-fy20/J300_J300_SR_na_na_PG_R1_001.fastq.gz	dg.4DFC/0f293902-befa-4e39-8e82-7109e5885e16			J300_SR.Amplicon	PCR	AMPLICON	Paired end	Not Reported	Genomic	150	10	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.	Illumina	Illumina MiSeq																									414a0fbc-cf3f-57ad-a70b-f1c5c5f69d04	9c55e032-ccc7-5068-a11f-2c3f8fc9feb7
sequencing_file	J300_J300_SR_na_na_PG_R2_001.fastq.gz	J300_J300_SR_na_na_PG_R2_001.fastq.gz	Sequencing	fastq	PCR AMPLICON	10692791	b4c35a0709aa9b57ecbf4c11a7c2238b	Sample	Controlled	['phs002504']	['/programs/phs002504']	s3://cds-256-phs002504-sequencefiles-p30-fy20/J300_J300_SR_na_na_PG_R2_001.fastq.gz	dg.4DFC/c5ae4a8e-6f24-4b83-9ee7-8ad0e13b1a3a			J300_SR.Amplicon	PCR	AMPLICON	Paired end	Not Reported	Genomic	150	10	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.	Illumina	Illumina MiSeq																									857fca8d-4fef-5fe0-af2f-0b5726532f46	9c55e032-ccc7-5068-a11f-2c3f8fc9feb7
sequencing_file	J302_J302_Dx_na_PG_R1_001.fastq.gz	J302_J302_Dx_na_PG_R1_001.fastq.gz	Sequencing	fastq	PCR AMPLICON	20820226	1555931eaf99a5243a0815c35c3d78ef	Sample	Controlled	['phs002504']	['/programs/phs002504']	s3://cds-256-phs002504-sequencefiles-p30-fy20/J302_J302_Dx_na_PG_R1_001.fastq.gz	dg.4DFC/b4054a28-f541-4f03-a76e-37158baca946			J302.Amplicon	PCR	AMPLICON	Paired end	Not Reported	Genomic	150	10	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.	Illumina	Illumina MiSeq																									185e8a7a-d4ff-56a8-afbc-336f958aee96	6881ec47-f44e-5feb-ba6a-3a06b4a9802c
sequencing_file	J302_J302_Dx_na_PG_R2_001.fastq.gz	J302_J302_Dx_na_PG_R2_001.fastq.gz	Sequencing	fastq	PCR AMPLICON	22220942	282f0a739b71c0279c4d6a990b753ecc	Sample	Controlled	['phs002504']	['/programs/phs002504']	s3://cds-256-phs002504-sequencefiles-p30-fy20/J302_J302_Dx_na_PG_R2_001.fastq.gz	dg.4DFC/48c0ae81-2f08-43c5-9911-1f7f2ff02350			J302.Amplicon	PCR	AMPLICON	Paired end	Not Reported	Genomic	150	10	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.	Illumina	Illumina MiSeq																									10236c09-76f4-52f4-865c-dc1a883f99b7	6881ec47-f44e-5feb-ba6a-3a06b4a9802c
sequencing_file	J341_J341_Dx_na_PG_R1_001.fastq.gz	J341_J341_Dx_na_PG_R1_001.fastq.gz	Sequencing	fastq	PCR AMPLICON	74583602	d2b563252d50b062beb3b9f40f2ab94f	Sample	Controlled	['phs002504']	['/programs/phs002504']	s3://cds-256-phs002504-sequencefiles-p30-fy20/J341_J341_Dx_na_PG_R1_001.fastq.gz	dg.4DFC/b1eac72a-7096-404d-82bf-3de6c25cb161			J341.Amplicon	PCR	AMPLICON	Paired end	Not Reported	Genomic	150	10	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.	Illumina	Illumina MiSeq																									05631df4-bb98-53ac-a1fb-5dd2220ae1fb	93f9460e-9240-573e-aecc-c006f79759bc
sequencing_file	J341_J341_Dx_na_PG_R2_001.fastq.gz	J341_J341_Dx_na_PG_R2_001.fastq.gz	Sequencing	fastq	PCR AMPLICON	77734536	b55fd4832a3d96b85807a69d167ce910	Sample	Controlled	['phs002504']	['/programs/phs002504']	s3://cds-256-phs002504-sequencefiles-p30-fy20/J341_J341_Dx_na_PG_R2_001.fastq.gz	dg.4DFC/908bd6b9-672b-414b-95f8-8c08fa4ced4a			J341.Amplicon	PCR	AMPLICON	Paired end	Not Reported	Genomic	150	10	DNA samples were sequenced using a custom amplicon-based targeted sequencing approach.	Illumina	Illumina MiSeq																									d17c74c1-0c51-5f53-94c3-47a03529dc35	93f9460e-9240-573e-aecc-c006f79759bc
