type	sequencing_file_id	file_name	data_category	file_type	file_description	file_size	md5sum	file_mapping_level	file_access	acl	authz	file_url	dcf_indexd_guid	checksum_algorithm	checksum_value	library_id	library_selection	library_strategy	library_layout	library_source_material	library_source_molecule	number_of_bp	number_of_reads	design_description	platform	instrument_model	avg_read_length	coverage	reference_genome_assembly	custom_assembly_fasta_file_for_alignment	sequence_alignment_software	cDNA_read	cDNA_read_size	cDNA_read_offset	cell_barcode_offset	cell_barcode_read	cell_barcode_size	single_cell_entity	dissociation_method	end_bias	total_number_of_input_cells	library_construction_method	library_strand	protocols_link	reverse_transcription_primer	spike_in	UMI_barcode_offset	UMI_barcode_read	UMI_barcode_size	crdc_id	id	sample.id
sequencing_file	IID_H136433_T07_01_WT01.bam	IID_H136433_T07_01_WT01.bam	Sequencing	bam		8049197624	45f8ecf6ecb42f3e97e0924e43040fed	Sample	Controlled	['phs002620.c1']	['/programs/phs002620.c1']	s3://cds-253-phs002620-sequencefiles-p30-fy20/IID_H136433_T07_01_WT01.bam	dg.4DFC/838564a3-a98a-4a7d-ba9f-169f84d994fc			IID_H136433_T07_01_WT01	rRNA Depletion	RNA-Seq	Paired end	Bulk Tissue	Transcriptomic			Tumor RNA was extracted from fresh frozen or OCT tumor biosies. Samples were first homogenized in 1mL TRIzol Reagent (ThermoFisher catalog #15596018) followed by phase separation with 200 μL chloroform. RNA was extracted using miRNeasy Micro Kit (Qaigen catalog #217084) on the QIAcube Connect. After RiboGreen quantification and quality control by Agilent BioAnalyzer, 18ng-11μg of total RNA underwent ribosomal depletion and library preparation using TruSeq Stranded Total RNA LT Kit (illumina catalog #RS-122-1202). Samples were barcoded and run on a Illumina HiSeq 2000, 2500, 4000 or NovaSeq 6000 machines.	Illumina	Illumina NovaSeq 6000																									97122fd3-673d-5c25-8e97-984c3fd6341b	c2935b40-ad72-503c-894d-f3a5605fc2a1
sequencing_file	I-H-136428-T1-2-R1-1.bam	I-H-136428-T1-2-R1-1.bam	Sequencing	bam		10587780125	eec98f23efcdb209d5393ee8abb3d679	Sample	Controlled	['phs002620.c1']	['/programs/phs002620.c1']	s3://cds-253-phs002620-sequencefiles-p30-fy20/I-H-136428-T1-2-R1-1.bam	dg.4DFC/c0b6f0cf-9d30-4d07-ad07-2c63e6ad7758			I-H-136428-T1-2-R1-1	rRNA Depletion	RNA-Seq	Paired end	Bulk Tissue	Transcriptomic			Tumor RNA was extracted from fresh frozen or OCT tumor biosies. Samples were first homogenized in 1mL TRIzol Reagent (ThermoFisher catalog #15596018) followed by phase separation with 200 μL chloroform. RNA was extracted using miRNeasy Micro Kit (Qaigen catalog #217084) on the QIAcube Connect. After RiboGreen quantification and quality control by Agilent BioAnalyzer, 18ng-11μg of total RNA underwent ribosomal depletion and library preparation using TruSeq Stranded Total RNA LT Kit (illumina catalog #RS-122-1202). Samples were barcoded and run on a Illumina HiSeq 2000, 2500, 4000 or NovaSeq 6000 machines.	Illumina	Illumina NovaSeq 6000																									acc569dc-b6b3-5cd4-81c1-9a8f6be9e0f1	740815b4-2467-5235-b4bf-89c7b2dc2d43
sequencing_file	IID_H136573_T05_01_WT01.bam	IID_H136573_T05_01_WT01.bam	Sequencing	bam		10727339297	7986ea11110405178f276eadbe047e82	Sample	Controlled	['phs002620.c1']	['/programs/phs002620.c1']	s3://cds-253-phs002620-sequencefiles-p30-fy20/IID_H136573_T05_01_WT01.bam	dg.4DFC/5671f540-f770-4151-b376-f1ab59f86137			IID_H136573_T05_01_WT01	rRNA Depletion	RNA-Seq	Paired end	Bulk Tissue	Transcriptomic			Tumor RNA was extracted from fresh frozen or OCT tumor biosies. Samples were first homogenized in 1mL TRIzol Reagent (ThermoFisher catalog #15596018) followed by phase separation with 200 μL chloroform. RNA was extracted using miRNeasy Micro Kit (Qaigen catalog #217084) on the QIAcube Connect. After RiboGreen quantification and quality control by Agilent BioAnalyzer, 18ng-11μg of total RNA underwent ribosomal depletion and library preparation using TruSeq Stranded Total RNA LT Kit (illumina catalog #RS-122-1202). Samples were barcoded and run on a Illumina HiSeq 2000, 2500, 4000 or NovaSeq 6000 machines.	Illumina	Illumina NovaSeq 6000																									a65c490e-1909-5094-958a-f268a8c64194	1f067ebf-60e6-5a43-a8cb-58351db37a67
sequencing_file	IID_H135462_T02_01_WT01.bam	IID_H135462_T02_01_WT01.bam	Sequencing	bam		10782302633	b678e61fc80d9dd3e091760f132f6a75	Sample	Controlled	['phs002620.c1']	['/programs/phs002620.c1']	s3://cds-253-phs002620-sequencefiles-p30-fy20/IID_H135462_T02_01_WT01.bam	dg.4DFC/6c9bbca0-aea1-4df6-b86f-3ba42f50c2aa			IID_H135462_T02_01_WT01	rRNA Depletion	RNA-Seq	Paired end	Bulk Tissue	Transcriptomic			Tumor RNA was extracted from fresh frozen or OCT tumor biosies. Samples were first homogenized in 1mL TRIzol Reagent (ThermoFisher catalog #15596018) followed by phase separation with 200 μL chloroform. RNA was extracted using miRNeasy Micro Kit (Qaigen catalog #217084) on the QIAcube Connect. After RiboGreen quantification and quality control by Agilent BioAnalyzer, 18ng-11μg of total RNA underwent ribosomal depletion and library preparation using TruSeq Stranded Total RNA LT Kit (illumina catalog #RS-122-1202). Samples were barcoded and run on a Illumina HiSeq 2000, 2500, 4000 or NovaSeq 6000 machines.	Illumina	Illumina NovaSeq 6000																									cb14d3eb-3abe-586b-8539-332b6083c462	39ac8fa1-278c-5354-b950-707eb7846895
sequencing_file	I-H-136062-T1-2-R1-1.bam	I-H-136062-T1-2-R1-1.bam	Sequencing	bam		10154599206	d922e5fdcc1b36f88ba95d7b00d6c2e7	Sample	Controlled	['phs002620.c1']	['/programs/phs002620.c1']	s3://cds-253-phs002620-sequencefiles-p30-fy20/I-H-136062-T1-2-R1-1.bam	dg.4DFC/9ac9b423-daab-4b9a-9d92-6229b3fa8e13			I-H-136062-T1-2-R1-1	rRNA Depletion	RNA-Seq	Paired end	Bulk Tissue	Transcriptomic			Tumor RNA was extracted from fresh frozen or OCT tumor biosies. Samples were first homogenized in 1mL TRIzol Reagent (ThermoFisher catalog #15596018) followed by phase separation with 200 μL chloroform. RNA was extracted using miRNeasy Micro Kit (Qaigen catalog #217084) on the QIAcube Connect. After RiboGreen quantification and quality control by Agilent BioAnalyzer, 18ng-11μg of total RNA underwent ribosomal depletion and library preparation using TruSeq Stranded Total RNA LT Kit (illumina catalog #RS-122-1202). Samples were barcoded and run on a Illumina HiSeq 2000, 2500, 4000 or NovaSeq 6000 machines.	Illumina	Illumina NovaSeq 6000																									1d9f8010-668b-59ef-ab19-499acb81277f	5f3028bb-7236-5549-96a4-75214ba34483
sequencing_file	I-H-134756-T1-2-R1-1.bam	I-H-134756-T1-2-R1-1.bam	Sequencing	bam		5734248511	933cc10dcb1a46d8448f01e3a16b99fd	Sample	Controlled	['phs002620.c1']	['/programs/phs002620.c1']	s3://cds-253-phs002620-sequencefiles-p30-fy20/I-H-134756-T1-2-R1-1.bam	dg.4DFC/e091d8ba-bb7f-4a4c-b63f-560e0c230f09			I-H-134756-T1-2-R1-1	rRNA Depletion	RNA-Seq	Paired end	Bulk Tissue	Transcriptomic			Tumor RNA was extracted from fresh frozen or OCT tumor biosies. Samples were first homogenized in 1mL TRIzol Reagent (ThermoFisher catalog #15596018) followed by phase separation with 200 μL chloroform. RNA was extracted using miRNeasy Micro Kit (Qaigen catalog #217084) on the QIAcube Connect. After RiboGreen quantification and quality control by Agilent BioAnalyzer, 18ng-11μg of total RNA underwent ribosomal depletion and library preparation using TruSeq Stranded Total RNA LT Kit (illumina catalog #RS-122-1202). Samples were barcoded and run on a Illumina HiSeq 2000, 2500, 4000 or NovaSeq 6000 machines.	Illumina	Illumina NovaSeq 6000																									ceb7a43d-4fd6-5138-9d9d-35eb3b40367e	14628eed-e1aa-5cf5-b2c1-492a1187315c
sequencing_file	I-H-134202-T1-1-R1-1.bam	I-H-134202-T1-1-R1-1.bam	Sequencing	bam		6138221559	c0801f559412e0420a9a278d77ffbe31	Sample	Controlled	['phs002620.c1']	['/programs/phs002620.c1']	s3://cds-253-phs002620-sequencefiles-p30-fy20/I-H-134202-T1-1-R1-1.bam	dg.4DFC/6a5faeaa-5342-458c-a270-0996498493b4			I-H-134202-T1-1-R1-1	rRNA Depletion	RNA-Seq	Paired end	Bulk Tissue	Transcriptomic			Tumor RNA was extracted from fresh frozen or OCT tumor biosies. Samples were first homogenized in 1mL TRIzol Reagent (ThermoFisher catalog #15596018) followed by phase separation with 200 μL chloroform. RNA was extracted using miRNeasy Micro Kit (Qaigen catalog #217084) on the QIAcube Connect. After RiboGreen quantification and quality control by Agilent BioAnalyzer, 18ng-11μg of total RNA underwent ribosomal depletion and library preparation using TruSeq Stranded Total RNA LT Kit (illumina catalog #RS-122-1202). Samples were barcoded and run on a Illumina HiSeq 2000, 2500, 4000 or NovaSeq 6000 machines.	Illumina	Illumina NovaSeq 6000																									0cc34b39-ea8e-58b0-8900-278d0f8cf79d	78728fc9-38c8-5b7e-852c-067df02e08e2
sequencing_file	I-H-134757-T1-2-R1-1.bam	I-H-134757-T1-2-R1-1.bam	Sequencing	bam		5663451369	0b2de81ad4cc1adf0d8d181099f877ab	Sample	Controlled	['phs002620.c1']	['/programs/phs002620.c1']	s3://cds-253-phs002620-sequencefiles-p30-fy20/I-H-134757-T1-2-R1-1.bam	dg.4DFC/d3454121-d538-43d5-9251-463f4f9fb52e			I-H-134757-T1-2-R1-1	rRNA Depletion	RNA-Seq	Paired end	Bulk Tissue	Transcriptomic			Tumor RNA was extracted from fresh frozen or OCT tumor biosies. Samples were first homogenized in 1mL TRIzol Reagent (ThermoFisher catalog #15596018) followed by phase separation with 200 μL chloroform. RNA was extracted using miRNeasy Micro Kit (Qaigen catalog #217084) on the QIAcube Connect. After RiboGreen quantification and quality control by Agilent BioAnalyzer, 18ng-11μg of total RNA underwent ribosomal depletion and library preparation using TruSeq Stranded Total RNA LT Kit (illumina catalog #RS-122-1202). Samples were barcoded and run on a Illumina HiSeq 2000, 2500, 4000 or NovaSeq 6000 machines.	Illumina	Illumina NovaSeq 6000																									2c297b20-93d7-552e-acf8-f70b0d776c3d	947cb69d-e951-5538-b845-d8e38443ad14
sequencing_file	I-H-135420-T1-1-R1-1.bam	I-H-135420-T1-1-R1-1.bam	Sequencing	bam		7227468971	c7f2b0ae89a301b788252d70d14c65ee	Sample	Controlled	['phs002620.c1']	['/programs/phs002620.c1']	s3://cds-253-phs002620-sequencefiles-p30-fy20/I-H-135420-T1-1-R1-1.bam	dg.4DFC/37150336-2ff6-455c-af2c-713b61786065			I-H-135420-T1-1-R1-1	rRNA Depletion	RNA-Seq	Paired end	Bulk Tissue	Transcriptomic			Tumor RNA was extracted from fresh frozen or OCT tumor biosies. Samples were first homogenized in 1mL TRIzol Reagent (ThermoFisher catalog #15596018) followed by phase separation with 200 μL chloroform. RNA was extracted using miRNeasy Micro Kit (Qaigen catalog #217084) on the QIAcube Connect. After RiboGreen quantification and quality control by Agilent BioAnalyzer, 18ng-11μg of total RNA underwent ribosomal depletion and library preparation using TruSeq Stranded Total RNA LT Kit (illumina catalog #RS-122-1202). Samples were barcoded and run on a Illumina HiSeq 2000, 2500, 4000 or NovaSeq 6000 machines.	Illumina	Illumina NovaSeq 6000																									80dae3a4-1b75-5228-89fe-a3aa2403682e	96bbf0c6-fb29-51fc-b4e4-f24724f7450a
sequencing_file	IID_H134768_T02_01_WT01.bam	IID_H134768_T02_01_WT01.bam	Sequencing	bam		12166229504	bba65ba3a41596f3e9214626463d0f49	Sample	Controlled	['phs002620.c1']	['/programs/phs002620.c1']	s3://cds-253-phs002620-sequencefiles-p30-fy20/IID_H134768_T02_01_WT01.bam	dg.4DFC/b9fd6474-e9f4-4c2a-92ff-c75defe06c59			IID_H134768_T02_01_WT01	rRNA Depletion	RNA-Seq	Paired end	Bulk Tissue	Transcriptomic			Tumor RNA was extracted from fresh frozen or OCT tumor biosies. Samples were first homogenized in 1mL TRIzol Reagent (ThermoFisher catalog #15596018) followed by phase separation with 200 μL chloroform. RNA was extracted using miRNeasy Micro Kit (Qaigen catalog #217084) on the QIAcube Connect. After RiboGreen quantification and quality control by Agilent BioAnalyzer, 18ng-11μg of total RNA underwent ribosomal depletion and library preparation using TruSeq Stranded Total RNA LT Kit (illumina catalog #RS-122-1202). Samples were barcoded and run on a Illumina HiSeq 2000, 2500, 4000 or NovaSeq 6000 machines.	Illumina	Illumina NovaSeq 6000																									2b8cbf6d-76f3-5ac3-9d40-40b9aaea80aa	fb1759d3-e30b-59ec-bf80-dc9bba08f7dc
