type	file_name	uuid	file_size	md5sum	file_status	file_location	file_format	acl	case.case_id	study.clinical_study_designation	sample.sample_id	diagnosis.diagnosis_id	file_type	file_description
file	N1124_recal_reads.bai	3793cd1a-08ee-5d67-9e88-09551d12c580	5289528	3d73717d97b3a7dfe4114c96d4bf3ed7	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1124_recal_reads.bai	bai	['Open']			STS01-N1124		Index File	WES reads to CanFam3.1 - STS01-N1124 matched normal
file	N1124_recal_reads.bam	e114da3f-0c00-5c61-be6c-c36e8cd58f0c	8292745997	7a66f3be9c09e293dd02b0bf850c9819	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1124_recal_reads.bam	bam	['Open']			STS01-N1124		Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1124 matched normal
file	N1238_recal_reads.bai	b74530de-7fef-5b56-920a-b662c8c15a6b	5287928	32e218d8e27bb0f787e9bd28ffd7c904	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1238_recal_reads.bai	bai	['Open']			STS01-N1238		Index File	WES reads to CanFam3.1 - STS01-N1238 matched normal
file	N1238_recal_reads.bam	6fa53496-a05c-51c9-9cef-47cd6f118a00	8181060372	871f272f01718b23e4374d434b072691	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1238_recal_reads.bam	bam	['Open']			STS01-N1238		Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1238 matched normal
file	N1292_recal_reads.bai	bdfffe56-1ea5-50e5-85be-3d92bb3f9095	5276696	2b50120ced2c3cd0fe0a517ae184f501	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1292_recal_reads.bai	bai	['Open']			STS01-N1292		Index File	WES reads to CanFam3.1 - STS01-N1292 matched normal
file	N1292_recal_reads.bam	9a897b56-f55e-5527-83dd-cf7295ad5c7c	8167395560	5524906ebe49f13df8c79bbbd82c2f39	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1292_recal_reads.bam	bam	['Open']			STS01-N1292		Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1292 matched normal
file	N1407_recal_reads.bai	1f05ee96-2e47-5dd5-9471-75543a17baf7	5272400	caf686158fbcc721180053cf6219697c	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1407_recal_reads.bai	bai	['Open']			STS01-N1407		Index File	WES reads to CanFam3.1 - STS01-N1407 matched normal
file	N1407_recal_reads.bam	592bcd5a-ac1a-56d6-afa7-865f5a456dd9	9014254330	cc4215e5ec4038d34a80f24b8b6430ae	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1407_recal_reads.bam	bam	['Open']			STS01-N1407		Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1407 matched normal
file	N1462_recal_reads.bai	445f4fbf-8e93-577f-90d4-1abc0e8d3eb4	5035304	6efed398e2ec5316c3cebd652dcd1cc9	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1462_recal_reads.bai	bai	['Open']			STS01-N1462		Index File	WES reads to CanFam3.1 - STS01-N1462 matched normal
file	N1462_recal_reads.bam	5c8752d8-1387-56d0-9a3c-f0c1fd4ead19	15691999961	26c5c5a334fb465f42ffef988db89485	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1462_recal_reads.bam	bam	['Open']			STS01-N1462		Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1462 matched normal
file	N1490_recal_reads.bai	f8e4eaa8-68d5-56ce-b16a-2734e0d46c8e	5070608	02f7ec1ad7633a7622b789ef8d3a43f8	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1490_recal_reads.bai	bai	['Open']			STS01-N1490		Index File	WES reads to CanFam3.1 - STS01-N1490 matched normal
file	N1490_recal_reads.bam	7c2ce694-7e7e-5ff3-a937-5349711eb207	16377048838	9e6937357cb2613439171c5a2bd97bb2	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1490_recal_reads.bam	bam	['Open']			STS01-N1490		Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1490 matched normal
file	N1585_recal_reads.bai	a6fafbee-0d14-54fe-884a-1446b6c7e2a4	5319912	b302eda7eb5a6439e8c175a1452e3279	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1585_recal_reads.bai	bai	['Open']			STS01-N1585		Index File	WES reads to CanFam3.1 - STS01-N1585 matched normal
file	N1585_recal_reads.bam	2e4a4b8a-ea6e-5103-9d5a-33b3b20fde48	18016949980	6bddefa0799b846241da395be70691e3	uploaded	s3://nci-cbiit-caninedatacommons-file/Final/STS01/N1585_recal_reads.bam	bam	['Open']			STS01-N1585		Whole Exome Sequence File	WES reads to CanFam3.1 - STS01-N1585 matched normal
