sample_id	sample_type	type	participant.study_participant_id	sample_tumor_status
HTA3_50044_6001842_Analyte	Analyte	sample	phs002371_HTA3_50044	Not specified in data
HTA3_70147_6047105_Analyte	Analyte	sample	phs002371_HTA3_70147	Not specified in data
HTA3_70153_6053101_Analyte	Analyte	sample	phs002371_HTA3_70153	Not specified in data
HTA3_70147_6047102_Analyte	Analyte	sample	phs002371_HTA3_70147	Not specified in data
HTA3_70150_6015002_Analyte	Analyte	sample	phs002371_HTA3_70150	Not specified in data
HTA3_70147_6047103_Analyte	Analyte	sample	phs002371_HTA3_70147	Not specified in data
HTA3_70147_6047104_Analyte	Analyte	sample	phs002371_HTA3_70147	Not specified in data
HTA3_70153_6053102_Analyte	Analyte	sample	phs002371_HTA3_70153	Not specified in data
HTA3_70149_6049104_Analyte	Analyte	sample	phs002371_HTA3_70149	Not specified in data
HTA3_70152_6020104_Analyte	Analyte	sample	phs002371_HTA3_70152	Not specified in data
HTA3_70005_6005101_Analyte	Analyte	sample	phs002371_HTA3_70005	Not specified in data
HTA3_70152_6052112_Analyte	Analyte	sample	phs002371_HTA3_70152	Not specified in data
HTA3_70145_6045108_Analyte	Analyte	sample	phs002371_HTA3_70145	Not specified in data
HTA3_70149_6049107_Analyte	Analyte	sample	phs002371_HTA3_70149	Not specified in data
HTA3_70152_6020101_Analyte	Analyte	sample	phs002371_HTA3_70152	Not specified in data
HTA3_70152_6020103_Analyte	Analyte	sample	phs002371_HTA3_70152	Not specified in data
HTA3_70161_6061101_Tissue	Tissue	sample	phs002371_HTA3_70161	Not specified in data
HTA3_70142_6042104_Analyte	Analyte	sample	phs002371_HTA3_70142	Not specified in data
HTA3_70145_6014504_Analyte	Analyte	sample	phs002371_HTA3_70145	Not specified in data
HTA3_70149_6049103_Analyte	Analyte	sample	phs002371_HTA3_70149	Not specified in data
HTA3_70152_6020202_Analyte	Analyte	sample	phs002371_HTA3_70152	Not specified in data
HTA3_70152_6052109_Analyte	Analyte	sample	phs002371_HTA3_70152	Not specified in data
HTA3_70152_6052110_Analyte	Analyte	sample	phs002371_HTA3_70152	Not specified in data
HTA3_70142_6014201_Analyte	Analyte	sample	phs002371_HTA3_70142	Not specified in data
HTA3_70145_6014501_Analyte	Analyte	sample	phs002371_HTA3_70145	Not specified in data
HTA3_70145_6014506_Analyte	Analyte	sample	phs002371_HTA3_70145	Not specified in data
HTA3_70145_6045107_Analyte	Analyte	sample	phs002371_HTA3_70145	Not specified in data
HTA3_70142_6042103_Analyte	Analyte	sample	phs002371_HTA3_70142	Not specified in data
HTA3_70149_6049102_Analyte	Analyte	sample	phs002371_HTA3_70149	Not specified in data
HTA3_70145_6014505_Analyte	Analyte	sample	phs002371_HTA3_70145	Not specified in data
HTA3_70152_6020105_Analyte	Analyte	sample	phs002371_HTA3_70152	Not specified in data
HTA3_70149_6049110_Analyte	Analyte	sample	phs002371_HTA3_70149	Not specified in data
HTA3_70152_6052111_Analyte	Analyte	sample	phs002371_HTA3_70152	Not specified in data
HTA3_70127_6027101_Analyte	Analyte	sample	phs002371_HTA3_70127	Not specified in data
HTA3_70145_6014502_Analyte	Analyte	sample	phs002371_HTA3_70145	Not specified in data
HTA3_70081_6008101_Analyte	Analyte	sample	phs002371_HTA3_70081	Not specified in data
HTA3_70081_6008102_Analyte	Analyte	sample	phs002371_HTA3_70081	Not specified in data
HTA3_70102_6010201_Analyte	Analyte	sample	phs002371_HTA3_70102	Not specified in data
HTA3_70106_6006106_Analyte	Analyte	sample	phs002371_HTA3_70106	Not specified in data
HTA3_70106_6006107_Analyte	Analyte	sample	phs002371_HTA3_70106	Not specified in data
HTA3_70106_6010601_Analyte	Analyte	sample	phs002371_HTA3_70106	Not specified in data
HTA3_70106_6010603_Analyte	Analyte	sample	phs002371_HTA3_70106	Not specified in data
HTA3_70106_6010604_Analyte	Analyte	sample	phs002371_HTA3_70106	Not specified in data
HTA3_70106_6010605_Analyte	Analyte	sample	phs002371_HTA3_70106	Not specified in data
HTA3_70111_6011101_Analyte	Analyte	sample	phs002371_HTA3_70111	Not specified in data
HTA3_70111_6011102_Analyte	Analyte	sample	phs002371_HTA3_70111	Not specified in data
